Benchmark,Device,Device Name,N,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Samples,Batch GPU (sec)
cougar,0,NVIDIA RTX A4000,4096,No,11,0.05378808736363636,0.0019969852314673654,0.053767650951038706,0.001981535680712939,12,0.05388509877522787
cougar,0,NVIDIA RTX A4000,8192,No,11,0.426056264,0.004612208139508889,0.42602903053977276,0.004611173176428068,12,0.43156481933593754
cougar,1,NVIDIA RTX A4000,64,No,10608,6.612322775263961e-05,0.2331302420163887,4.7190470800443844e-05,0.07031210343104777,11913,4.197216570511189e-05
cougar,1,NVIDIA RTX A4000,128,No,5648,0.00010779353576487306,0.14391223083053198,8.877105964216239e-05,0.011922228456760517,6044,8.278982312690337e-05
cougar,1,NVIDIA RTX A4000,256,No,2912,0.00019011242788461545,0.05490345206518467,0.00017175625374664093,0.006720244949874194,3172,0.00016272852008910978
cougar,1,NVIDIA RTX A4000,512,No,1490,0.0003552240429530207,0.0425885057423616,0.0003357915428060857,0.004713550292401383,1557,0.00032397333535921443
cougar,1,NVIDIA RTX A4000,1024,No,392,0.0013002458928571424,0.02094883299161706,0.001276584309278701,0.0020783070707389674,410,0.0013078500142911587
cougar,1,NVIDIA RTX A4000,2048,No,528,0.007857199299242425,0.043929731564250264,0.007833677143761616,0.043618561662296176,529,0.007889161913967315
cougar,1,NVIDIA RTX A4000,4096,No,252,0.05950065415079365,0.010796911412571516,0.05948025753384544,0.010802235299417332,249,0.06026525771665763
cougar,1,NVIDIA RTX A4000,8192,No,11,0.4771792125454546,0.0047375402661297755,0.4771236905184659,0.004766746674593676,12,0.47788013966878257
cutlass_bench,0,NVIDIA RTX A4000,64,No,35536,3.201176674358367e-05,0.10464236211331776,1.4071782937468755e-05,0.07862797510366212,47997,1.0417419260140223e-05
cutlass_bench,0,NVIDIA RTX A4000,128,No,22528,3.9825884144175765e-05,0.05066212721674387,2.220382249949721e-05,0.03829011808039334,29206,1.7120195811637736e-05
cutlass_bench,0,NVIDIA RTX A4000,256,No,12848,5.6434354062889015e-05,0.028803187669315326,3.895457182427418e-05,0.021697183888693197,16525,3.025822430240404e-05
cutlass_bench,0,NVIDIA RTX A4000,512,No,7008,8.916934489155275e-05,0.020805440898667416,7.144577329081039e-05,0.012342363453041048,8531,5.8621274308461884e-05
cutlass_bench,0,NVIDIA RTX A4000,1024,No,2176,0.0002494634315257353,0.014344072620233706,0.0002311682205729348,0.01452694930437696,2233,0.00023888823957225424
cutlass_bench,0,NVIDIA RTX A4000,2048,No,2384,0.00161545284899329,0.007491318525650302,0.0015954100411110681,0.007439417316847163,2385,0.001622973609170579
cutlass_bench,0,NVIDIA RTX A4000,4096,No,34,0.014880674382352943,0.004299423985325208,0.014860182537752035,0.0043203402540476265,35,0.015172286551339287
cutlass_bench,0,NVIDIA RTX A4000,8192,No,11,0.13075718581818183,0.0039990818617934845,0.13073352189497517,0.004005224900136184,12,0.13044640223185222
cutlass_bench,1,NVIDIA RTX A4000,64,No,34992,3.293894921696394e-05,0.3794986389590924,1.4292959292617335e-05,0.08114488732578617,46366,1.0783856986757005e-05
cutlass_bench,1,NVIDIA RTX A4000,128,No,22112,4.1183969654486115e-05,0.314079309642644,2.2623810536301905e-05,0.04104178297439844,27958,1.790348164589588e-05
cutlass_bench,1,NVIDIA RTX A4000,256,No,12688,5.807429090479205e-05,0.240145599796264,3.942477833485647e-05,0.028525997801096107,15852,3.155912138914599e-05
cutlass_bench,1,NVIDIA RTX A4000,512,No,6896,9.178749825986033e-05,0.17735976862077132,7.263686016997339e-05,0.021998282521009816,8177,6.115693872243482e-05
cutlass_bench,1,NVIDIA RTX A4000,1024,No,2208,0.0002623343713768122,0.05192891605638462,0.00024303892763007006,0.02246989253427925,2209,0.0002568481945516622
cutlass_bench,1,NVIDIA RTX A4000,2048,No,1680,0.0016888409630952375,0.03733242857098357,0.0016661379061994124,0.03598857905308121,1681,0.0017127706764852142
cutlass_bench,1,NVIDIA RTX A4000,4096,No,320,0.01567342329062499,0.0377866480326413,0.015649498042464252,0.037833532939423,321,0.015876793148361622
cutlass_bench,1,NVIDIA RTX A4000,8192,No,22,0.13508896386363636,0.005057664753814043,0.13505848347056995,0.0049987463818344045,23,0.13594804183296533
cublas_bench,0,NVIDIA RTX A4000,64,No,59840,2.877438596256677e-05,0.1395726463777561,8.356689852469471e-06,0.0817841137329086,96554,5.1785125652224006e-06
cublas_bench,0,NVIDIA RTX A4000,128,No,62512,2.787917870168898e-05,0.06547062539393456,8.000224224717377e-06,0.08928114187890485,97304,5.1404892158461255e-06
cublas_bench,0,NVIDIA RTX A4000,256,No,40256,3.180024711844205e-05,0.060201524778336554,1.2422960476599029e-05,0.06025277861793401,59839,8.401252773229258e-06
cublas_bench,0,NVIDIA RTX A4000,512,No,13872,5.9218359068627365e-05,0.03903657335030881,3.608246192802219e-05,0.04234523775435622,13873,3.637297759336754e-05
cublas_bench,0,NVIDIA RTX A4000,1024,No,3120,0.00023076105961538406,0.02974470324617037,0.00020659767111811254,0.03142329239811197,3121,0.00022213858812426343
cublas_bench,0,NVIDIA RTX A4000,2048,No,2768,0.001662556325144509,0.01578539244678522,0.0016390663492627843,0.015933266894107543,2769,0.001666544603457646
cublas_bench,0,NVIDIA RTX A4000,4096,No,1117,0.013413287655326761,0.00863980631638378,0.013381299502100362,0.008660046923052056,1106,0.013541372236248466
cublas_bench,0,NVIDIA RTX A4000,8192,No,168,0.08928837811904763,0.010131857404351323,0.08925452681950159,0.010116577812999301,167,0.09004249234684929
cublas_bench,1,NVIDIA RTX A4000,64,No,59184,2.9021316301702815e-05,0.46611435389131556,8.44981510945776e-06,0.10532928849914083,90894,5.5009713428142155e-06
cublas_bench,1,NVIDIA RTX A4000,128,No,61696,3.011326983921206e-05,0.4557503679817778,8.106104252501007e-06,0.0970394022343657,88368,5.658165617038359e-06
cublas_bench,1,NVIDIA RTX A4000,256,No,40688,3.357006505603622e-05,0.3963922536890759,1.2293283073757647e-05,0.06872536163618928,57599,8.74187625980445e-06
cublas_bench,1,NVIDIA RTX A4000,512,No,14064,5.9710743529579346e-05,0.24328277641961824,3.556446711489489e-05,0.04426810033831828,14065,3.7649301977725396e-05
cublas_bench,1,NVIDIA RTX A4000,1024,No,2384,0.0002354571459731543,0.05183416520322815,0.00021055567798973683,0.025331489463613525,2385,0.0002304343837237206
cublas_bench,1,NVIDIA RTX A4000,2048,No,2576,0.0016839046304347825,0.02638315550984242,0.0016575954247798228,0.017448151840533815,2577,0.001685543041799199
cublas_bench,1,NVIDIA RTX A4000,4096,No,800,0.013669793651249994,0.07956418025736864,0.013628470263481131,0.0810782750450332,801,0.014335965054163177
cublas_bench,1,NVIDIA RTX A4000,8192,No,135,0.09356365842962967,0.01976318305901731,0.09352012538203486,0.01999092117976183,136,0.09723933937970324
